file	xref	first_page	width	height	format	bytes
img_0001.png	5	1	1000	525	png	495548
img_0002.png	320	3	18	22	png	1265
img_0003.png	323	3	304	166	png	16841
img_0004.jpeg	324	3	250	47	jpeg	26732
img_0005.jpeg	387	4	320	241	jpeg	12177
img_0006.jpeg	388	4	640	219	jpeg	30719
img_0007.jpeg	389	4	391	97	jpeg	28601
img_0008.jpeg	408	5	386	225	jpeg	42137
img_0009.jpeg	409	5	250	578	jpeg	53867
img_0010.jpeg	419	6	473	340	jpeg	26020
img_0011.jpeg	420	6	401	225	jpeg	44471
img_0012.png	421	6	300	182	png	36111
img_0013.jpeg	434	7	630	236	jpeg	63444
img_0014.png	435	7	300	250	png	63494
img_0015.png	436	7	300	94	png	32467
img_0016.png	437	7	300	129	png	61452
img_0017.jpeg	462	8	300	165	jpeg	8042
img_0018.jpeg	463	8	300	123	jpeg	2591
img_0019.png	482	9	300	188	png	34847
img_0020.png	484	9	300	116	png	89106
img_0021.png	499	10	300	72	png	54317
img_0022.png	516	11	300	262	png	85110
img_0023.jpeg	517	11	300	102	jpeg	11440
img_0024.png	518	11	300	216	png	152248
img_0025.png	519	11	300	234	png	58409
img_0026.jpeg	520	11	300	47	jpeg	2532
img_0027.png	536	12	300	140	png	99571
img_0028.png	537	12	300	134	png	42332
img_0029.png	565	14	300	108	png	35731
img_0030.jpeg	574	15	300	113	jpeg	11439
img_0031.png	575	15	300	72	png	13724
img_0032.jpeg	603	16	300	190	jpeg	6321
img_0033.png	604	16	300	75	png	17399
img_0034.jpeg	605	16	300	190	jpeg	4531
img_0035.png	618	17	300	65	png	16594
img_0036.jpeg	619	17	300	227	jpeg	10876
img_0037.png	620	17	300	96	png	51034
img_0038.png	634	18	494	275	png	98432
img_0039.png	635	18	300	77	png	15106
img_0040.jpeg	645	19	300	187	jpeg	7537
img_0041.png	652	20	310	233	png	73396
img_0042.png	662	21	300	217	png	48489
img_0043.jpeg	663	21	300	217	jpeg	10947
img_0044.jpeg	664	21	300	217	jpeg	11028
img_0045.jpeg	682	22	300	405	jpeg	16360
img_0046.jpeg	695	23	300	119	jpeg	5692
img_0047.jpeg	696	23	300	91	jpeg	3806
img_0048.png	714	24	300	112	png	54371
img_0049.jpeg	716	24	300	103	jpeg	8217
