file	xref	first_page	width	height	format	bytes
img_0001.jpeg	2708	1	195	195	jpeg	18249
img_0002.jpeg	2715	1	1920	868	jpeg	238388
img_0003.png	17	6	973	231	png	29888
img_0004.png	18	6	845	205	png	26580
img_0005.png	22	7	506	308	png	17168
img_0006.png	23	7	623	583	png	40704
img_0007.png	27	8	1038	338	png	42509
img_0008.png	28	8	1058	437	png	73387
img_0009.png	211	10	846	160	png	14452
img_0010.png	35	10	485	330	png	16605
img_0011.png	39	11	485	925	png	51431
img_0012.png	43	12	480	850	png	54211
img_0013.png	47	13	1115	543	png	71147
img_0014.png	48	13	1094	286	png	45645
img_0015.png	52	14	1341	518	png	105800
img_0016.png	53	14	688	101	png	12781
img_0017.png	54	14	925	393	png	63810
img_0018.png	59	15	1052	661	png	27597
img_0019.png	64	16	1238	621	png	135348
img_0020.png	65	16	1008	317	png	19839
img_0021.png	70	17	724	420	png	7356
img_0022.jpeg	71	17	674	731	jpeg	52069
img_0023.jpeg	217	18	736	489	jpeg	64416
img_0024.png	83	20	1674	669	png	128090
img_0025.png	84	20	1046	423	png	45598
img_0026.png	88	21	1674	533	png	108666
img_0027.png	92	22	1655	490	png	110173
img_0028.png	96	23	1662	477	png	105026
img_0029.png	97	23	1674	580	png	113213
img_0030.jpeg	102	24	1598	425	jpeg	109751
img_0031.jpeg	103	24	1375	464	jpeg	129943
img_0032.png	104	24	463	254	png	17699
img_0033.jpeg	108	25	1508	556	jpeg	57525
img_0034.png	112	26	1042	634	png	53889
img_0035.png	120	28	992	200	png	9738
img_0036.jpeg	124	29	870	400	jpeg	56830
img_0037.jpeg	125	29	852	557	jpeg	119332
img_0038.png	220	30	824	140	png	15661
img_0039.png	132	31	993	478	png	33110
img_0040.png	133	31	356	93	png	6011
img_0041.png	221	32	960	91	png	4399
img_0042.png	137	32	575	866	png	55812
img_0043.jpeg	144	34	1266	793	jpeg	59440
img_0044.jpeg	145	34	1041	689	jpeg	97115
img_0045.png	149	35	994	935	png	64135
img_0046.jpeg	159	38	1087	441	jpeg	106975
img_0047.jpeg	172	42	1268	478	jpeg	98589
img_0048.png	182	45	845	651	png	66822
